timestamp,valor
1750175166.9233468,"ID: 1732 | Timestamp: 2007904 | Intervalo: 1191 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.23 hPa | Accel [X,Y,Z]: 1.014, 0.014, -0.075 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175167.9382346,"ID: 1733 | Timestamp: 2008911 | Intervalo: 1007 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.24 hPa | Accel [X,Y,Z]: 1.011, 0.015, -0.070 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175169.182571,"ID: 1734 | Timestamp: 2010146 | Intervalo: 1235 ms | RadioLatency: 9 ms | Temperatura: 24.10 C | Pressao: 1023.25 hPa | Accel [X,Y,Z]: 1.010, 0.015, -0.080 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175170.1861935,"ID: 1735 | Timestamp: 2011144 | Intervalo: 998 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.26 hPa | Accel [X,Y,Z]: 1.011, 0.015, -0.067 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175171.236605,"ID: 1736 | Timestamp: 2012186 | Intervalo: 1042 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.22 hPa | Accel [X,Y,Z]: 1.014, 0.019, -0.063 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175172.6032314,"ID: 1737 | Timestamp: 2013543 | Intervalo: 1357 ms | RadioLatency: 9 ms | Temperatura: 24.10 C | Pressao: 1023.25 hPa | Accel [X,Y,Z]: 1.012, 0.018, -0.080 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175173.950401,"ID: 1738 | Timestamp: 2014879 | Intervalo: 1336 ms | RadioLatency: 11 ms | Temperatura: 24.10 C | Pressao: 1023.24 hPa | Accel [X,Y,Z]: 1.013, 0.019, -0.074 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175175.3088033,"ID: 1739 | Timestamp: 2016229 | Intervalo: 1350 ms | RadioLatency: 9 ms | Temperatura: 24.10 C | Pressao: 1023.30 hPa | Accel [X,Y,Z]: 1.014, 0.018, -0.067 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175176.430326,"ID: 1740 | Timestamp: 2017342 | Intervalo: 1113 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.26 hPa | Accel [X,Y,Z]: 1.014, 0.019, -0.084 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175177.4252548,"ID: 1741 | Timestamp: 2018332 | Intervalo: 990 ms | RadioLatency: 6 ms | Temperatura: 24.10 C | Pressao: 1023.28 hPa | Accel [X,Y,Z]: 1.010, 0.019, -0.071 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175178.3940258,"ID: 1742 | Timestamp: 2019294 | Intervalo: 962 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.20 hPa | Accel [X,Y,Z]: 1.012, 0.020, -0.071 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175179.4703038,"ID: 1743 | Timestamp: 2020362 | Intervalo: 1068 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.26 hPa | Accel [X,Y,Z]: 1.011, 0.015, -0.065 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175180.5168512,"ID: 1744 | Timestamp: 2021401 | Intervalo: 1039 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.32 hPa | Accel [X,Y,Z]: 1.015, 0.021, -0.066 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175181.5483751,"ID: 1745 | Timestamp: 2022425 | Intervalo: 1024 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.31 hPa | Accel [X,Y,Z]: 1.012, 0.017, -0.071 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175182.55517,"ID: 1746 | Timestamp: 2023425 | Intervalo: 1000 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.18 hPa | Accel [X,Y,Z]: 1.008, 0.017, -0.075 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175183.8808258,"ID: 1747 | Timestamp: 2024740 | Intervalo: 1315 ms | RadioLatency: 10 ms | Temperatura: 24.10 C | Pressao: 1023.27 hPa | Accel [X,Y,Z]: 1.008, 0.018, -0.074 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175184.9211714,"ID: 1748 | Timestamp: 2025775 | Intervalo: 1035 ms | RadioLatency: 6 ms | Temperatura: 24.10 C | Pressao: 1023.21 hPa | Accel [X,Y,Z]: 1.016, 0.015, -0.086 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175186.2339606,"ID: 1749 | Timestamp: 2027077 | Intervalo: 1302 ms | RadioLatency: 10 ms | Temperatura: 24.10 C | Pressao: 1023.20 hPa | Accel [X,Y,Z]: 1.013, 0.017, -0.067 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175187.4242334,"ID: 1750 | Timestamp: 2028260 | Intervalo: 1183 ms | RadioLatency: 9 ms | Temperatura: 24.10 C | Pressao: 1023.19 hPa | Accel [X,Y,Z]: 1.013, 0.018, -0.073 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175188.5552077,"ID: 1751 | Timestamp: 2029383 | Intervalo: 1123 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.26 hPa | Accel [X,Y,Z]: 1.009, 0.016, -0.062 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
