timestamp,valor
1748355708.2665431,"ID: 2070 | Temperatura: 26.30 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.079, -0.133, 0.913 | Gyro [X,Y,Z] (°/s): -0.94, -2.30, ovf"
1748355709.3945966,"ID: 2071 | Temperatura: 26.30 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.079, -0.137, 0.908 | Gyro [X,Y,Z] (°/s): -0.98, -2.18, ovf"
1748355710.5230815,"ID: 2072 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.084, -0.136, 0.912 | Gyro [X,Y,Z] (°/s): -1.10, -2.11, ovf"
1748355711.6524365,"ID: 2073 | Temperatura: 26.30 C | Pressao: 1018.80 hPa | Accel [X,Y,Z]: -0.083, -0.139, 0.913 | Gyro [X,Y,Z] (°/s): -1.10, -2.21, ovf"
1748355712.781095,"ID: 2074 | Temperatura: 26.30 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.078, -0.132, 0.921 | Gyro [X,Y,Z] (°/s): -1.00, -2.07, ovf"
1748355713.9084527,"ID: 2075 | Temperatura: 26.30 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.082, -0.140, 0.922 | Gyro [X,Y,Z] (°/s): -0.95, -2.08, ovf"
1748355715.0376534,"ID: 2076 | Temperatura: 26.30 C | Pressao: 1018.94 hPa | Accel [X,Y,Z]: -0.087, -0.141, 0.899 | Gyro [X,Y,Z] (°/s): -0.99, -2.09, ovf"
1748355716.1664996,"ID: 2077 | Temperatura: 26.30 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.078, -0.132, 0.909 | Gyro [X,Y,Z] (°/s): -1.15, -2.12, ovf"
1748355717.295656,"ID: 2078 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.082, -0.134, 0.919 | Gyro [X,Y,Z] (°/s): -0.95, -2.22, ovf"
1748355718.4255245,"ID: 2079 | Temperatura: 26.30 C | Pressao: 1018.92 hPa | Accel [X,Y,Z]: -0.083, -0.141, 0.914 | Gyro [X,Y,Z] (°/s): -0.98, -2.03, ovf"
1748355719.553665,"ID: 2080 | Temperatura: 26.30 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.083, -0.140, 0.925 | Gyro [X,Y,Z] (°/s): -0.67, -1.99, ovf"
1748355720.6827843,"ID: 2081 | Temperatura: 26.30 C | Pressao: 1018.89 hPa | Accel [X,Y,Z]: -0.079, -0.136, 0.910 | Gyro [X,Y,Z] (°/s): -0.95, -1.96, ovf"
